Price,Area_sqft,Bedrooms,Bathrooms,Stories,MainRoad_Access,GuestRoom,Basement,HotWater_Heating,AirConditioning,Parking_Spaces,Preferred_Area,Furnishing_Status,Price_per_sqft
6755000,6000,4,2,4,1,0,0,0,1,0,0,0,1125.83
6720000,5020,3,1,4,1,0,0,0,1,0,1,0,1338.65
6685000,6600,2,2,4,1,0,1,0,0,0,1,2,1012.88
6650000,4040,3,1,2,1,0,1,1,0,1,0,2,1646.04
6650000,4260,4,2,2,1,0,0,1,0,0,0,1,1561.03
6650000,6420,3,2,3,1,0,0,0,1,0,1,2,1035.83
6650000,6500,3,2,3,1,0,0,0,1,0,1,2,1023.08
6650000,5700,3,1,1,1,1,1,0,1,2,1,2,1166.67
6650000,6000,3,2,3,1,1,0,0,1,0,0,2,1108.33
6629000,6000,3,1,2,1,0,0,1,0,1,1,1,1104.83
6615000,4000,3,2,2,1,0,1,0,1,1,0,1,1653.75
6615000,10500,3,2,1,1,0,1,0,1,1,1,2,630.0
6580000,6000,3,2,4,1,0,0,0,1,0,0,1,1096.67
6510000,3760,3,1,2,1,0,0,1,0,2,0,1,1731.38
6510000,8250,3,2,3,1,0,0,0,1,0,0,2,789.09
6510000,6670,3,1,3,1,0,1,0,0,0,1,0,976.01
6475000,3960,3,1,1,1,0,1,0,0,2,0,1,1635.1
6475000,7410,3,1,1,1,1,1,0,1,2,1,0,873.82
6440000,8580,5,3,2,1,0,0,0,0,2,0,2,750.58
6440000,5000,3,1,2,1,0,0,0,1,0,0,1,1288.0
6419000,6750,2,1,1,1,1,1,0,0,2,1,2,950.96
6405000,4800,3,2,4,1,1,0,0,1,0,0,2,1334.38
6300000,7200,3,2,1,1,0,1,0,1,3,0,1,875.0
6300000,6000,4,2,4,1,0,0,0,0,1,0,1,1050.0
6300000,4100,3,2,3,1,0,0,0,1,2,0,1,1536.59
6300000,9000,3,1,1,1,0,1,0,0,1,1,2,700.0
6300000,6400,3,1,1,1,1,1,0,1,1,1,1,984.38
6293000,6600,3,2,3,1,0,0,0,1,0,1,0,953.48
6265000,6000,4,1,3,1,1,1,0,0,0,1,0,1044.17
6230000,6600,3,2,1,1,0,1,0,1,0,1,0,943.94
6230000,5500,3,1,3,1,0,0,0,0,1,1,0,1132.73
6195000,5500,3,2,4,1,1,0,0,1,1,0,1,1126.36
6195000,6350,3,2,3,1,1,0,0,1,0,0,2,975.59
6195000,5500,3,2,1,1,1,1,0,0,2,1,2,1126.36
6160000,4500,3,1,4,1,0,0,0,1,0,0,0,1368.89
6160000,5450,4,2,1,1,0,1,0,1,0,1,1,1130.28
6125000,6420,3,1,3,1,0,1,0,0,0,1,0,954.05
6107500,3240,4,1,3,1,0,0,0,0,1,0,1,1885.03
6090000,6615,4,2,2,1,1,0,1,0,1,0,1,920.63
6090000,6600,3,1,1,1,1,1,0,0,2,1,1,922.73
6090000,8372,3,1,3,1,0,0,0,1,2,0,0,727.42
6083000,4300,6,2,2,1,0,0,0,0,0,0,2,1414.65
6083000,9620,3,1,1,1,0,1,0,0,2,1,2,632.33
6020000,6800,2,1,1,1,1,1,0,0,2,0,2,885.29
6020000,8000,3,1,1,1,1,1,0,1,2,1,1,752.5
6020000,6900,3,2,1,1,1,1,0,0,0,1,0,872.46
5950000,3700,4,1,2,1,1,0,0,1,0,0,2,1608.11
5950000,6420,3,1,1,1,0,1,0,1,0,1,2,926.79
5950000,7020,3,1,1,1,0,1,0,1,2,1,1,847.58
5950000,6540,3,1,1,1,1,1,0,0,2,1,2,909.79
5950000,7231,3,1,2,1,1,1,0,1,0,1,1,822.85
5950000,6254,4,2,1,1,0,1,0,0,1,1,1,951.39
5950000,7320,4,2,2,1,0,0,0,0,0,0,2,812.84
5950000,6525,3,2,4,1,0,0,0,0,1,0,2,911.88
5943000,15600,3,1,1,1,0,0,0,1,2,0,1,380.96
5880000,7160,3,1,1,1,0,1,0,0,2,1,0,821.23
5880000,6500,3,2,3,1,0,0,0,1,0,0,0,904.62
5873000,5500,3,1,3,1,1,0,0,1,1,0,2,1067.82
5873000,11460,3,1,3,1,0,0,0,0,2,1,1,512.48
5866000,4800,3,1,1,1,1,1,0,0,0,0,0,1222.08
5810000,5828,4,1,4,1,1,0,0,0,0,0,1,996.91
5810000,5200,3,1,3,1,0,0,0,1,0,0,1,1117.31
5810000,4800,3,1,3,1,0,0,0,1,0,0,0,1210.42
5803000,7000,3,1,1,1,0,1,0,0,2,1,1,829.0
5775000,6000,3,2,4,1,0,0,0,1,0,0,0,962.5
5740000,5400,4,2,2,1,0,0,0,1,2,0,0,1062.96
5740000,4640,4,1,2,1,0,0,0,0,1,0,1,1237.07
5740000,5000,3,1,3,1,0,0,0,1,0,0,1,1148.0
5740000,6360,3,1,1,1,1,1,0,1,2,1,2,902.52
5740000,5800,3,2,4,1,0,0,0,1,0,0,0,989.66
5652500,6660,4,2,2,1,1,1,0,0,1,1,1,848.72
5600000,10500,4,2,2,1,0,0,0,0,1,0,1,533.33
5600000,4800,5,2,3,0,0,1,1,0,0,0,0,1166.67
5600000,4700,4,1,2,1,1,1,0,1,1,0,2,1191.49
5600000,5000,3,1,4,1,0,0,0,0,0,0,2,1120.0
5600000,10500,2,1,1,1,0,0,0,0,1,0,1,533.33
5600000,5500,3,2,2,1,0,0,0,0,1,0,1,1018.18
5600000,6360,3,1,3,1,0,0,0,0,0,1,1,880.5
5600000,6600,4,2,1,1,0,1,0,0,0,1,1,848.48
5600000,5136,3,1,2,1,1,1,0,1,0,1,0,1090.34
5565000,4400,4,1,2,1,0,0,0,1,2,1,1,1264.77
5565000,5400,5,1,2,1,1,1,0,1,0,1,2,1030.56
5530000,3300,3,3,2,1,0,1,0,0,0,0,1,1675.76
5530000,3650,3,2,2,1,0,0,0,0,2,0,1,1515.07
5530000,6100,3,2,1,1,0,1,0,0,2,1,2,906.56
5523000,6900,3,1,1,1,1,1,0,0,0,1,1,800.43
5495000,2817,4,2,2,0,1,1,0,0,1,0,2,1950.66
5495000,7980,3,1,1,1,0,0,0,0,2,0,1,688.6
5460000,3150,3,2,1,1,1,1,0,1,0,0,2,1733.33
5460000,6210,4,1,4,1,1,0,0,1,0,0,2,879.23
5460000,6100,3,1,3,1,1,0,0,1,0,1,1,895.08
5460000,6600,4,2,2,1,1,1,0,0,0,1,1,827.27
5425000,6825,3,1,1,1,1,1,0,1,0,1,1,794.87
5390000,6710,3,2,2,1,1,1,0,0,1,1,2,803.28
5383000,6450,3,2,1,1,1,1,1,0,0,0,0,834.57
5320000,7800,3,1,1,1,0,1,0,1,2,1,0,682.05
5285000,4600,2,2,1,1,0,0,0,1,2,0,1,1148.91
5250000,4260,4,1,2,1,0,1,0,1,0,0,2,1232.39
5250000,6540,4,2,2,0,0,0,0,1,0,0,1,802.75
5250000,5500,3,2,1,1,0,1,0,0,0,0,1,954.55
5250000,10269,3,1,1,1,0,0,0,0,1,1,1,511.25
5250000,8400,3,1,2,1,1,1,0,1,2,1,0,625.0
5250000,5300,4,2,1,1,0,0,0,1,0,1,0,990.57
5250000,3800,3,1,2,1,1,1,0,0,1,1,0,1381.58
5250000,9800,4,2,2,1,1,0,0,0,2,0,1,535.71
5250000,8520,3,1,1,1,0,0,0,1,2,0,2,616.2
5243000,6050,3,1,1,1,0,1,0,0,0,1,1,866.61
5229000,7085,3,1,1,1,1,1,0,0,2,1,1,738.04
5215000,3180,3,2,2,1,0,0,0,0,2,0,1,1639.94
5215000,4500,4,2,1,0,0,1,0,1,2,0,1,1158.89
5215000,7200,3,1,2,1,1,1,0,0,1,1,2,724.31
5145000,3410,3,1,2,0,0,0,0,1,0,0,1,1508.8
5145000,7980,3,1,1,1,0,0,0,0,1,1,1,644.74
5110000,3000,3,2,2,1,1,1,0,0,0,0,2,1703.33
5110000,3000,3,1,2,1,0,1,0,0,0,0,0,1703.33
5110000,11410,2,1,2,1,0,0,0,0,0,1,2,447.85
5110000,6100,3,1,1,1,0,1,0,1,0,1,1,837.7
5075000,5720,2,1,2,1,0,0,0,1,0,1,0,887.24
5040000,3540,2,1,1,0,1,1,0,0,0,0,1,1423.73
5040000,7600,4,1,2,1,0,0,0,1,2,0,2,663.16
5040000,10700,3,1,2,1,1,1,0,0,0,0,1,471.03
5040000,6600,3,1,1,1,1,1,0,0,0,1,2,763.64
5033000,4800,2,1,1,1,1,1,0,0,0,0,1,1048.54
5005000,8150,3,2,1,1,1,1,0,0,0,0,1,614.11
4970000,4410,4,3,2,1,0,1,0,0,2,0,1,1126.98
4970000,7686,3,1,1,1,1,1,1,0,0,0,1,646.63
4956000,2800,3,2,2,0,0,1,0,1,1,0,1,1770.0
4935000,5948,3,1,2,1,0,0,0,1,0,0,1,829.69
4907000,4200,3,1,2,1,0,0,0,0,1,0,2,1168.33
4900000,4520,3,1,2,1,0,1,0,1,0,0,1,1084.07
4900000,4095,3,1,2,0,1,1,0,1,0,0,1,1196.58
4900000,4120,2,1,1,1,0,1,0,0,1,0,1,1189.32
4900000,5400,4,1,2,1,0,0,0,0,0,0,1,907.41
4900000,4770,3,1,1,1,1,1,0,0,0,0,1,1027.25
4900000,6300,3,1,1,1,0,0,0,1,2,0,1,777.78
4900000,5800,2,1,1,1,1,1,0,1,0,0,1,844.83
4900000,3000,3,1,2,1,0,1,0,1,0,0,1,1633.33
4900000,2970,3,1,3,1,0,0,0,0,0,0,1,1649.83
4900000,6720,3,1,1,1,0,0,0,0,0,0,0,729.17
4900000,4646,3,1,2,1,1,1,0,0,2,0,1,1054.67
4900000,12900,3,1,1,1,0,0,0,0,2,0,2,379.84
4893000,3420,4,2,2,1,0,1,0,1,2,0,1,1430.7
4893000,4995,4,2,1,1,0,1,0,0,0,0,1,979.58
4865000,4350,2,1,1,1,0,1,0,0,0,0,0,1118.39
4830000,4160,3,1,3,1,0,0,0,0,0,0,0,1161.06
4830000,6040,3,1,1,1,0,0,0,0,2,1,1,799.67
4830000,6862,3,1,2,1,0,0,0,1,2,1,2,703.88
4830000,4815,2,1,1,1,0,0,0,1,0,1,1,1003.12
4795000,7000,3,1,2,1,0,1,0,0,0,0,0,685.0
4795000,8100,4,1,4,1,0,1,0,1,2,0,1,591.98
4767000,3420,4,2,2,1,0,0,0,0,0,0,1,1393.86
4760000,9166,2,1,1,1,0,1,0,1,2,0,1,519.31
4760000,6321,3,1,2,1,0,1,0,1,1,0,2,753.05
4760000,10240,2,1,1,1,0,0,0,1,2,1,0,464.84
4753000,6440,2,1,1,1,0,0,0,1,3,0,1,738.04
4690000,5170,3,1,4,1,0,0,0,1,0,0,1,907.16
4690000,6000,2,1,1,1,0,1,0,1,1,0,2,781.67
4690000,3630,3,1,2,1,0,0,0,0,2,0,1,1292.01
4690000,9667,4,2,2,1,1,1,0,0,1,0,1,485.16
4690000,5400,2,1,2,1,0,0,0,0,0,1,1,868.52
4690000,4320,3,1,1,1,0,0,0,0,0,1,1,1085.65
4655000,3745,3,1,2,1,0,1,0,0,0,0,2,1242.99
4620000,4160,3,1,1,1,1,1,0,1,0,0,0,1110.58
4620000,3880,3,2,2,1,0,1,0,0,2,0,1,1190.72
4620000,5680,3,1,2,1,1,0,0,1,1,0,1,813.38
4620000,2870,2,1,2,1,1,1,0,0,0,1,1,1609.76
4620000,5010,3,1,2,1,0,1,0,0,0,0,1,922.16
4613000,4510,4,2,2,1,0,1,0,0,0,0,1,1022.84
4585000,4000,3,1,2,1,0,0,0,0,1,0,2,1146.25
4585000,3840,3,1,2,1,0,0,0,0,1,1,1,1194.01
4550000,3760,3,1,1,1,0,0,0,0,2,0,1,1210.11
4550000,3640,3,1,2,1,0,0,0,1,0,0,2,1250.0
4550000,2550,3,1,2,1,0,1,0,0,0,0,2,1784.31
4550000,5320,3,1,2,1,1,1,0,0,0,1,1,855.26
4550000,5360,3,1,2,1,0,0,0,0,2,1,0,848.88
4550000,3520,3,1,1,1,0,0,0,0,0,1,1,1292.61
4550000,8400,4,1,4,1,0,0,0,0,3,0,0,541.67
4543000,4100,2,2,1,1,1,1,0,0,0,0,1,1108.05
4543000,4990,4,2,2,1,1,1,0,0,0,1,2,910.42
4515000,3510,3,1,3,1,0,0,0,0,0,0,1,1286.32
4515000,3450,3,1,2,1,0,1,0,0,1,0,1,1308.7
4515000,9860,3,1,1,1,0,0,0,0,0,0,1,457.91
4515000,3520,2,1,2,1,0,0,0,0,0,1,2,1282.67
4480000,4510,4,1,2,1,0,0,0,1,2,0,1,993.35
4480000,5885,2,1,1,1,0,0,0,1,1,0,0,761.26
4480000,4000,3,1,2,1,0,0,0,0,2,0,2,1120.0
4480000,8250,3,1,1,1,0,0,0,0,0,0,2,543.03
4480000,4040,3,1,2,1,0,0,0,0,1,0,1,1108.91
4473000,6360,2,1,1,1,0,1,0,1,1,0,2,703.3
4473000,3162,3,1,2,1,0,0,0,1,1,0,2,1414.61
4473000,3510,3,1,2,1,0,0,0,0,0,0,1,1274.36
4445000,3750,2,1,1,1,1,1,0,0,0,0,1,1185.33
4410000,3968,3,1,2,0,0,0,0,0,0,0,1,1111.39
4410000,4900,2,1,2,1,0,1,0,0,0,0,1,900.0
4403000,2880,3,1,2,1,0,0,0,0,0,1,1,1528.82
4403000,4880,3,1,1,1,0,0,0,0,2,1,0,902.25
4403000,4920,3,1,2,1,0,0,0,0,1,0,1,894.92
4382000,4950,4,1,2,1,0,0,0,1,0,0,1,885.25
4375000,3900,3,1,2,1,0,0,0,0,0,0,0,1121.79
4340000,4500,3,2,3,1,0,0,1,0,1,0,2,964.44
4340000,1905,5,1,2,0,0,1,0,0,0,0,1,2278.22
4340000,4075,3,1,1,1,1,1,0,0,2,0,1,1065.03
4340000,3500,4,1,2,1,0,0,0,0,2,0,2,1240.0
4340000,6450,4,1,2,1,0,0,0,0,0,0,1,672.87
4319000,4032,2,1,1,1,0,1,0,0,0,0,2,1071.18
4305000,4400,2,1,1,1,0,0,0,0,1,0,1,978.41
4305000,10360,2,1,1,1,0,0,0,0,1,1,1,415.54
4277000,3400,3,1,2,1,0,1,0,0,2,1,1,1257.94
4270000,6360,2,1,1,1,0,0,0,0,0,0,2,671.38
4270000,6360,2,1,2,1,0,0,0,0,0,0,0,671.38
4270000,4500,2,1,1,1,0,0,0,1,2,0,2,948.89
4270000,2175,3,1,2,0,1,1,0,1,0,0,0,1963.22
4270000,4360,4,1,2,1,0,0,0,0,0,0,2,979.36
4270000,7770,2,1,1,1,0,0,0,0,1,0,2,549.55
4235000,6650,3,1,2,1,1,0,0,0,0,0,1,636.84
4235000,2787,3,1,1,1,0,1,0,0,0,1,2,1519.56
4200000,5500,3,1,2,1,0,0,0,1,0,0,0,763.64
4200000,5040,3,1,2,1,0,1,0,1,0,0,0,833.33
4200000,5850,2,1,1,1,1,1,0,0,2,0,1,717.95
4200000,2610,4,3,2,0,0,0,0,0,0,0,1,1609.2
4200000,2953,3,1,2,1,0,1,0,1,0,0,0,1422.28
4200000,2747,4,2,2,0,0,0,0,0,0,0,1,1528.94
4200000,4410,2,1,1,0,0,0,0,0,1,0,0,952.38
4200000,4000,4,2,2,0,0,0,0,0,0,0,1,1050.0
4200000,2325,3,1,2,0,0,0,0,0,0,0,1,1806.45
4200000,4600,3,2,2,1,0,0,0,1,1,0,1,913.04
4200000,3640,3,2,2,1,0,1,0,0,0,0,0,1153.85
4200000,5800,3,1,1,1,0,0,1,0,2,0,1,724.14
4200000,7000,3,1,1,1,0,0,0,0,3,0,2,600.0
4200000,4079,3,1,3,1,0,0,0,0,0,0,1,1029.66
4200000,3520,3,1,2,1,0,0,0,0,0,1,1,1193.18
4200000,2145,3,1,3,1,0,0,0,0,1,1,0,1958.04
4200000,4500,3,1,1,1,0,1,0,0,0,0,2,933.33
4193000,8250,3,1,1,1,0,1,0,0,3,0,1,508.24
4193000,3450,3,1,2,1,0,0,0,0,1,0,1,1215.36
4165000,4840,3,1,2,1,0,0,0,0,1,0,1,860.54
4165000,4080,3,1,2,1,0,0,0,0,2,0,1,1020.83
4165000,4046,3,1,2,1,0,1,0,0,1,0,1,1029.41
4130000,4632,4,1,2,1,0,0,0,1,0,0,1,891.62
4130000,5985,3,1,1,1,0,1,0,0,0,0,1,690.06
4123000,6060,2,1,1,1,0,1,0,0,1,0,1,680.36
4098500,3600,3,1,1,1,0,1,0,1,0,1,2,1138.47
4095000,3680,3,2,2,1,0,0,0,0,0,0,1,1112.77
4095000,4040,2,1,2,1,0,0,0,0,1,0,1,1013.61
4095000,5600,2,1,1,1,0,0,0,1,0,0,1,731.25
4060000,5900,4,2,2,0,0,1,0,0,1,0,0,688.14
4060000,4992,3,2,2,1,0,0,0,0,2,0,0,813.3
4060000,4340,3,1,1,1,0,0,0,0,0,0,1,935.48
4060000,3000,4,1,3,1,0,1,0,1,2,0,1,1353.33
4060000,4320,3,1,2,1,0,0,0,0,2,1,2,939.81
4025000,3630,3,2,2,1,0,0,1,0,2,0,1,1108.82
4025000,3460,3,2,1,1,0,1,0,1,1,0,2,1163.29
4025000,5400,3,1,1,1,0,0,0,0,3,0,1,745.37
4007500,4500,3,1,2,0,0,1,0,1,0,0,1,890.56
4007500,3460,4,1,2,1,0,0,0,1,0,0,1,1158.24
3990000,4100,4,1,1,0,0,1,0,0,0,0,0,973.17
3990000,6480,3,1,2,0,0,0,0,1,1,0,1,615.74
3990000,4500,3,2,2,0,0,1,0,1,0,0,1,886.67
3990000,3960,3,1,2,1,0,0,0,0,0,0,2,1007.58
3990000,4050,2,1,2,1,1,1,0,0,0,1,0,985.19
3920000,7260,3,2,1,1,1,1,0,0,3,0,2,539.94
3920000,5500,4,1,2,1,1,1,0,0,0,0,1,712.73
3920000,3000,3,1,2,1,0,0,0,0,0,0,1,1306.67
3920000,3290,2,1,1,1,0,0,1,0,1,0,2,1191.49
3920000,3816,2,1,1,1,0,1,0,1,2,0,2,1027.25
3920000,8080,3,1,1,1,0,0,0,1,2,0,1,485.15
3920000,2145,4,2,1,1,0,1,0,0,0,1,0,1827.51
3885000,3780,2,1,2,1,1,1,0,0,0,0,1,1027.78
3885000,3180,4,2,2,1,0,0,0,0,0,0,2,1221.7
3850000,5300,5,2,2,1,0,0,0,0,0,0,1,726.42
3850000,3180,2,2,1,1,0,1,0,0,2,0,1,1210.69
3850000,7152,3,1,2,1,0,0,0,1,0,0,2,538.31
3850000,4080,2,1,1,1,0,0,0,0,0,0,1,943.63
3850000,3850,2,1,1,1,0,0,0,0,0,0,1,1000.0
3850000,2015,3,1,2,1,0,1,0,0,0,1,1,1910.67
3850000,2176,2,1,2,1,1,0,0,0,0,1,1,1769.3
3836000,3350,3,1,2,1,0,0,0,0,0,0,0,1145.07
3815000,3150,2,2,1,0,0,1,0,0,0,0,1,1211.11
3780000,4820,3,1,2,1,0,0,0,0,0,0,1,784.23
3780000,3420,2,1,2,1,0,0,1,0,1,0,1,1105.26
3780000,3600,2,1,1,1,0,0,0,0,0,0,1,1050.0
3780000,5830,2,1,1,1,0,0,0,0,2,0,0,648.37
3780000,2856,3,1,3,1,0,0,0,0,0,1,2,1323.53
3780000,8400,2,1,1,1,0,0,0,0,1,0,2,450.0
3773000,8250,3,1,1,1,0,0,0,0,2,0,2,457.33
3773000,2520,5,2,1,0,0,1,0,1,1,0,2,1497.22
3773000,6930,4,1,2,0,0,0,0,0,1,0,2,544.44
3745000,3480,2,1,1,1,0,0,0,0,0,1,1,1076.15
3710000,3600,3,1,1,1,0,0,0,0,1,0,0,1030.56
3710000,4040,2,1,1,1,0,0,0,0,0,0,1,918.32
3710000,6020,3,1,1,1,0,0,0,0,0,0,1,616.28
3710000,4050,2,1,1,1,0,0,0,0,0,0,2,916.05
3710000,3584,2,1,1,1,0,0,1,0,0,0,1,1035.16
3703000,3120,3,1,2,0,0,1,1,0,0,0,1,1186.86
3703000,5450,2,1,1,1,0,0,0,0,0,0,2,679.45
3675000,3630,2,1,1,1,0,1,0,0,0,0,2,1012.4
3675000,3630,2,1,1,1,0,0,0,1,0,0,0,1012.4
3675000,5640,2,1,1,0,0,0,0,0,0,0,1,651.6
3675000,3600,2,1,1,1,0,0,0,0,0,0,2,1020.83
3640000,4280,2,1,1,1,0,0,0,1,2,0,1,850.47
3640000,3570,3,1,2,1,0,1,0,0,0,0,1,1019.61
3640000,3180,3,1,2,0,0,1,0,0,0,0,1,1144.65
3640000,3000,2,1,2,1,0,0,0,1,0,0,2,1213.33
3640000,3520,2,2,1,1,0,1,0,0,0,0,1,1034.09
3640000,5960,3,1,2,1,1,1,0,0,0,0,0,610.74
3640000,4130,3,2,2,1,0,0,0,0,2,0,1,881.36
3640000,2850,3,2,2,0,0,1,0,0,0,1,0,1277.19
3640000,2275,3,1,3,1,0,0,1,1,0,1,1,1600.0
3633000,3520,3,1,1,1,0,0,0,0,2,1,0,1032.1
3605000,4500,2,1,1,1,0,0,0,0,0,0,1,801.11
3605000,4000,2,1,1,1,0,0,0,0,0,1,1,901.25
3570000,3150,3,1,2,1,0,1,0,0,0,0,2,1133.33
3570000,4500,4,2,2,1,0,1,0,0,2,0,2,793.33
3570000,4500,2,1,1,0,0,0,0,0,0,0,2,793.33
3570000,3640,2,1,1,1,0,0,0,0,0,0,0,980.77
3535000,3850,3,1,1,1,0,0,0,0,2,0,0,918.18
3500000,4240,3,1,2,1,0,0,0,1,0,0,1,825.47
3500000,3650,3,1,2,1,0,0,0,0,0,0,0,958.9
3500000,4600,4,1,2,1,0,0,0,0,0,0,1,760.87
3500000,2135,3,2,2,0,0,0,0,0,0,0,0,1639.34
3500000,3036,3,1,2,1,0,1,0,0,0,0,1,1152.83
3500000,3990,3,1,2,1,0,0,0,0,0,0,1,877.19
3500000,7424,3,1,1,0,0,0,0,0,0,0,0,471.44
3500000,3480,3,1,1,0,0,0,0,1,0,0,0,1005.75
3500000,3600,6,1,2,1,0,0,0,0,1,0,0,972.22
3500000,3640,2,1,1,1,0,0,0,0,1,0,1,961.54
3500000,5900,2,1,1,1,0,0,0,0,1,0,2,593.22
3500000,3120,3,1,2,1,0,0,0,0,1,0,0,1121.79
3500000,7350,2,1,1,1,0,0,0,0,1,0,1,476.19
3500000,3512,2,1,1,1,0,0,0,0,1,1,0,996.58
3500000,9500,3,1,2,1,0,0,0,0,3,1,0,368.42
3500000,5880,2,1,1,1,0,0,0,0,0,0,0,595.24
3500000,12944,3,1,1,1,0,0,0,0,0,0,0,270.4
3493000,4900,3,1,2,0,0,0,0,0,0,0,0,712.86
3465000,3060,3,1,1,1,0,0,0,0,0,0,0,1132.35
3465000,5320,2,1,1,1,0,0,0,0,1,1,0,651.32
3465000,2145,3,1,3,1,0,0,0,0,0,1,2,1615.38
3430000,4000,2,1,1,1,0,0,0,0,0,0,0,857.5
3430000,3185,2,1,1,1,0,0,0,0,2,0,0,1076.92
3430000,3850,3,1,1,1,0,0,0,0,0,0,0,890.91
3430000,2145,3,1,3,1,0,0,0,0,0,1,2,1599.07
3430000,2610,3,1,2,1,0,1,0,0,0,1,0,1314.18
3430000,1950,3,2,2,1,0,1,0,0,0,1,0,1758.97
3423000,4040,2,1,1,1,0,0,0,0,0,0,0,847.28
3395000,4785,3,1,2,1,1,1,0,1,1,0,2,709.51
3395000,3450,3,1,1,1,0,1,0,0,2,0,0,984.06
3395000,3640,2,1,1,1,0,0,0,0,0,0,2,932.69
3360000,3500,4,1,2,1,0,0,0,1,2,0,0,960.0
3360000,4960,4,1,3,0,0,0,0,0,0,0,1,677.42
3360000,4120,2,1,2,1,0,0,0,0,0,0,0,815.53
3360000,4750,2,1,1,1,0,0,0,0,0,0,0,707.37
3360000,3720,2,1,1,0,0,0,0,1,0,0,0,903.23
3360000,3750,3,1,1,1,0,0,0,0,0,0,0,896.0
3360000,3100,3,1,2,0,0,1,0,0,0,0,1,1083.87
3360000,3185,2,1,1,1,0,1,0,0,2,0,2,1054.95
